"","Year","TeamID","Park_ID","GP","HR_per_AB","Doubles_per_AB","Triples_per_AB"
"1",1906,"BOS","BOS06",77,0.00595695618754804,0.0297847809377402,0.0196003074558032
"2",1906,"CHA","CHI09",79,0.000593824228028504,0.0366191607284244,0.00732383214568488
"3",1906,"CLE","CLE05",79,0.00208887200911508,0.0419673376376757,0.0144322066084314
"4",1906,"DET","DET02",78,0.00172811059907834,0.0288018433179724,0.0172811059907834
"5",1906,"NYA","NYC13",76,0.00428098851916715,0.0342479081533372,0.0202374002724265
"6",1906,"PHA","PHI10",73,0.00532821824381927,0.0404944586530264,0.00660699062233589
"7",1906,"SLA","STL06",76,0.00487408610885459,0.0322908204711617,0.00812347684809098
"8",1906,"WS1","WAS08",75,0.00242964162785989,0.0328001619761085,0.0139704393601944
"9",1906,"BRO","NYC12",76,0.00288898060255881,0.0293025175402394,0.0103177878662815
"10",1906,"BSN","BOS05",76,0.0054589567327133,0.0299231702385766,0.00849171047310958
"11",1906,"CHN","CHI08",79,0.00257323832145685,0.033452098178939,0.0110847189231987
"12",1906,"CIN","CIN06",78,0.00393700787401575,0.0332677165354331,0.0179133858267717
"13",1906,"NY1","NYC10",74,0.0036622145626885,0.0364067212408445,0.0114174924601465
"14",1906,"PHI","PHI09",77,0.00142740619902121,0.0354812398042414,0.00713703099510604
"15",1906,"PIT","PIT05",77,0.00238379022646007,0.0325784664282876,0.0148986889153754
"16",1906,"SLN","STL05",77,0.00271528316524438,0.0234678044996121,0.0170674941815361
"17",1907,"BOS","BOS06",78,0.00440022957719533,0.0254448058159556,0.0124354314138129
"18",1907,"CHA","CHI09",79,0.000781555295037124,0.0293083235638921,0.00683860883157483
"19",1907,"CLE","CLE05",82,0.0020908572514731,0.0317430146360008,0.0104542862573655
"20",1907,"DET","DET02",79,0.00113400113400113,0.0296730296730297,0.0153090153090153
"21",1907,"NYA","NYC13",75,0.00333398705628555,0.0325554030202,0.0178466365954109
"22",1907,"PHA","PHI10",73,0.00428309198449929,0.0520089740974913,0.00734244340199878
"23",1907,"SLA","STL06",76,0.00333922608524848,0.0345708112355137,0.00766057748968768
"24",1907,"WS1","WAS08",75,0.000996611520829181,0.0294997010165438,0.0137532389874427
"25",1907,"BRO","NYC12",77,0.00388627531192473,0.0317038249130702,0.011863366741665
"26",1907,"BSN","BOS05",74,0.00692887711432647,0.0273079274505808,0.0114122681883024
"27",1907,"CHN","CHI08",76,0.00146290491118077,0.0269592476489028,0.00856844305120167
"28",1907,"CIN","CIN06",81,0.00157263613131512,0.0251621781010419,0.0161195203459799
"29",1907,"NY1","NYC10",77,0.00769854132901134,0.0309967585089141,0.011547811993517
"30",1907,"PHI","PHI09",75,0.00125339461040318,0.038019636515563,0.0110716523918947
"31",1907,"PIT","PIT05",77,0.00202757502027575,0.031021897810219,0.0186536901865369
"32",1907,"SLN","STL05",79,0.00357284636760619,0.0226280269948392,0.0132989281460897
"33",1908,"BOS","BOS06",77,0.0033905065815716,0.0217391304347826,0.016952532907858
"34",1908,"CHA","CHI09",78,0.00100563153660499,0.0305711987127916,0.00563153660498793
"35",1908,"CLE","CLE05",78,0.00295217476874631,0.0307026175949616,0.0116118874237355
"36",1908,"DET","DET02",78,0.0023094688221709,0.0302155504234026,0.0144341801385681
"37",1908,"NYA","NYC13",77,0.00527859237536657,0.0310850439882698,0.01544477028348
"38",1908,"PHA","PHI10",78,0.00295333727111636,0.0456782831265997,0.00886001181334909
"39",1908,"SLA","STL06",78,0.00274509803921569,0.0374509803921569,0.00882352941176471
"40",1908,"WS1","WAS08",78,0.00215348472983555,0.0236883320281911,0.0168363351605325
"41",1908,"BRO","NYC12",77,0.00400590343664347,0.0246679316888046,0.010752688172043
"42",1908,"BSN","BOS05",78,0.00637065637065637,0.0299227799227799,0.00501930501930502
"43",1908,"CHN","CHI08",78,0.00478659752692461,0.0362983645791783,0.0133625847626645
"44",1908,"CIN","CIN06",77,0.00305002033346889,0.0264335095567304,0.0183001220008133
"45",1908,"NY1","NYC10",80,0.00403071017274472,0.0420345489443378,0.0101727447216891
"46",1908,"PHI","PHI09",78,0.000596302921884317,0.0339892665474061,0.0129198966408269
"47",1908,"PIT","PIT05",77,0.00322385653838404,0.0284102357445094,0.0175297199274632
"48",1908,"SLN","STL05",77,0.00397377309755613,0.025630836479237,0.0125173852573018
"49",1909,"BOS","BOS06",75,0.0063304063712477,0.0322646518276496,0.0128650193996324
"50",1909,"CHA","CHI09",81,0.000785854616895874,0.0308447937131631,0.00805500982318271
"51",1909,"CLE","CLE05",77,0.000597371565113501,0.0294703305455994,0.015531660692951
"52",1909,"DET","DET02",78,0.00405561993047509,0.0399768250289687,0.011201235998455
"53",1909,"NYA","NYC13",77,0.00401687085760193,0.0351476200040169,0.0162683269732878
"54",1909,"PHA","PHI11",76,0.00268817204301075,0.032258064516129,0.0161290322580645
"55",1909,"SLA","STL07",79,0.00197980597901406,0.0223718075628588,0.0110869134824787
"56",1909,"WS1","WAS08",77,0.00142247510668563,0.032513716724243,0.00873806136964032
"57",1909,"BRO","NYC12",79,0.00408958130477118,0.031937682570594,0.0120740019474197
"58",1909,"BSN","BOS05",76,0.00377508444267832,0.0349692032584939,0.00576197099145639
"59",1909,"CHN","CHI08",77,0.00162173119805392,0.0362862355564565,0.00709507399148591
"60",1909,"CIN","CIN06",80,0.00134048257372654,0.0296821141325163,0.0162772883952509
"61",1909,"NY1","NYC10",77,0.00845921450151057,0.0336354481369587,0.0153071500503525
