,Nickname,Stadium,CF_Dim,CF_change,Change_Year,Prev_Year,Change_Year_HR_per_AB,Change_Year_Doubles_per_AB,Change_Year_Triples_per_AB,Prev_Year_HR_per_AB,Prev_Year_Doubles_per_AB,Prev_Year_Triples_per_AB
61,Giants,Polo Grounds V,480,-3,1955,1954,0.034572491,0.023791822,0.007992565,0.036920039,0.025074038,0.007897335
62,Giants,Seals Stadium,410,-70,1958,1957,0.032635352,0.037351443,0.006602528,0.034227567,0.02571693,0.010730805
63,Giants,Seals Stadium,400,-10,1959,1958,0.02771855,0.037410351,0.004070556,0.032635352,0.037351443,0.006602528
64,Giants,Candlestick Park,410,-10,1961,1960,0.034037559,0.036580595,0.007042254,0.015612802,0.035323966,0.011709602
65,Giants,Candlestick Park,400,-10,1982,1981,0.019839825,0.034583182,0.005096469,0.01265482,0.043887991,0.004846527
66,Giants,Pacific Bell Park,399,-1,2000,1999,0.031796207,0.05039048,0.007065824,0.033465991,0.046852388,0.002894356
67,Indians,Cleveland Stadium,467,-3,1938,1937,0.01980198,0.05519802,0.011138614,0.012928102,0.061011567,0.009979587
68,Indians,Cleveland Stadium,450,-17,1939,1938,0.014528594,0.05935085,0.00927357,0.01980198,0.05519802,0.011138614
69,Indians,Cleveland Stadium,410,-40,1947,1946,0.019604111,0.039779216,0.009516559,0.009462528,0.02990159,0.00984103
70,Indians,Cleveland Stadium,380,-30,1948,1947,0.02247619,0.041714286,0.005142857,0.019604111,0.039779216,0.009516559
71,Indians,Municipal Stadium,421,-9,1956,1955,0.026426426,0.035035035,0.004404404,0.02724482,0.033192632,0.003645434
72,Indians,Municipal Stadium,410,-11,1964,1963,0.029733118,0.037793301,0.002149382,0.031423954,0.034476567,0.002513916
73,Indians,Cleveland Stadium,408,-13,1966,1965,0.026888604,0.034753978,0.002377904,0.026963017,0.033521589,0.002186191
74,Indians,Cleveland Stadium,407,-1,1967,1966,0.026971726,0.036272321,0.004650298,0.026888604,0.034753978,0.002377904
75,Indians,Cleveland Stadium,400,-10,1970,1969,0.042792384,0.032094288,0.003263826,0.021106259,0.034934498,0.004548763
76,Mariners,Kingdome,405,-5,1981,1980,0.026731161,0.045570265,0.003818737,0.030953659,0.045983181,0.00679907
77,Mariners,Safeco Field,405,-5,1999,1998,0.033309456,0.044054441,0.003581662,0.038522707,0.062555222,0.003710903
78,Mariners,Safeco Field,401,-4,2013,2012,0.030014124,0.052436441,0.003001412,0.021726915,0.037834801,0.003558719
79,Marlins,Joe Robbie Stadium,404,-6,1994,1993,0.028368794,0.046955246,0.011005136,0.020837076,0.042213041,0.005568529
80,Marlins,Marlins Park,407,-11,2016,2015,0.023063941,0.047065442,0.00543784,0.020352035,0.045654565,0.006967363
81,Mets,Shea Stadium,410,-73,1964,1963,0.021065675,0.039830058,0.008143034,0.027933974,0.031017595,0.010520588
82,Mets,Citi Field,408,-2,2009,2008,0.02375731,0.054093567,0.007675439,0.031306225,0.046779417,0.003598417
83,Nationals,Nationals Park,402,-6,2008,2007,0.026840769,0.052049329,0.004533914,0.022612156,0.056801737,0.004703329
84,Orioles,Memorial Stadium,425,-25,1956,1955,0.014489916,0.036812219,0.009594674,0.010704225,0.03286385,0.008450704
85,Orioles,Memorial Stadium,410,-15,1958,1957,0.015900717,0.04072135,0.004459957,0.012578616,0.031827711,0.007623404
86,Orioles,Memorial Stadium,400,-10,1976,1975,0.017827298,0.038625812,0.004642526,0.017721519,0.035053554,0.006037001
87,Orioles,Memorial Stadium,405,-5,1980,1979,0.028337875,0.041961853,0.004722979,0.025134305,0.045280123,0.003261704
88,Orioles,Oriole Park at Camden Yards,400,-5,1992,1991,0.026143791,0.041212781,0.00617284,0.027279253,0.046482412,0.003409907
89,Orioles,Oriole Park at Camden Yards,400,-7,2002,2001,0.036756757,0.045585586,0.003063063,0.028018433,0.046451613,0.004423963
90,Padres,San Diego Stadium,410,-10,1973,1972,0.023835517,0.032387191,0.004730713,0.019115238,0.029492081,0.006553796
91,Padres,Jack Murphy Stadium,405,-15,1981,1980,0.009659243,0.045613094,0.008049369,0.011330409,0.040752924,0.007675439
92,Padres,Petco Park,396,-9,2004,2003,0.024189115,0.052959502,0.007513286,0.027022158,0.043415601,0.006485318
93,Phillies,Baker Bowl,388,-20,1914,1913,0.012521343,0.049136786,0.005312085,0.01353081,0.05412324,0.008411044
94,Phillies,Shibe Park,468,-34,1922,1921,0.027293538,0.056700123,0.006691319,0.02131961,0.058996508,0.004227164
95,Phillies,Shibe Park,448,-20,1950,1949,0.021042654,0.037535545,0.011184834,0.0180214,0.045053501,0.010512484
96,Phillies,Shibe Park,440,-8,1951,1950,0.017337808,0.043437733,0.012677107,0.021042654,0.037535545,0.011184834
97,Phillies,Connie Mack Stadium,447,-21,1956,1955,0.025886865,0.041418984,0.012464046,0.030243519,0.0435978,0.012568735
98,Phillies,Connie Mack Stadium,410,-37,1969,1968,0.025383492,0.043462381,0.005478451,0.018434913,0.034424379,0.007524454
99,Phillies,Veterans Stadium,408,-2,1971,1970,0.027632292,0.046415026,0.006140509,0.020344575,0.043255132,0.009897361
100,Phillies,Citizens Bank Park,401,-7,2004,2003,0.040411202,0.051045728,0.006026232,0.0263978,0.05847846,0.005316224
101,Pirates,Forbes Field,417,-98,1909,1908,0.003730273,0.041032999,0.018651363,0.003223857,0.028410236,0.01752972
102,Pirates,Forbes Field,409,-8,1911,1910,0.006923838,0.038575668,0.023541048,0.004959333,0.042650268,0.020432454
103,Pirates,Forbes Field,435,-7,1930,1929,0.013829983,0.048497142,0.023971971,0.011876044,0.048988681,0.023380961
104,Pirates,Three Rivers Stadium,410,-25,1970,1969,0.011971831,0.040492958,0.015492958,0.0134521,0.037084167,0.011816033
105,Pirates,Three Rivers Stadium,400,-10,1975,1974,0.020277882,0.040931281,0.007698085,0.014009576,0.043270083,0.008157475
106,Pirates,PNC Park,399,-1,2001,2000,0.027337343,0.053763441,0.004373975,0.03069784,0.05800464,0.006425129
107,Red Sox,Huntington Avenue Baseball Grounds,456,-74,1909,1908,0.006330406,0.032264652,0.012865019,0.003390507,0.02173913,0.016952533
108,Red Sox,Fenway Park,421,-67,1926,1925,0.004834655,0.05840263,0.012376716,0.007307692,0.053076923,0.009230769
109,Red Sox,Fenway Park,389,-79,1934,1933,0.008590751,0.060135259,0.013343082,0.011553785,0.060557769,0.008565737
110,Reds,Redland Field,400,-20,1927,1926,0.002594514,0.041882876,0.019458858,0.00309119,0.042890263,0.024536321
